playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
cabremi01,2005,1,FLO,NL,158,613,106,198,43,2,33,116,1,0,64,125,12,2,0,6,20
damonjo01,2005,1,BOS,AL,148,624,117,197,35,6,10,75,18,1,53,69,3,2,0,9,5
guerrvl01,2005,1,LAA,AL,141,520,95,165,29,2,32,108,13,1,61,48,26,8,0,5,16
heltoto01,2005,1,COL,NL,144,509,92,163,45,2,20,79,3,0,106,80,22,9,1,1,14
leede02,2005,1,CHN,NL,158,594,120,199,50,3,46,107,15,3,85,109,23,5,0,7,12
atkinga01,2006,1,COL,NL,157,602,117,198,48,1,29,120,4,0,79,76,6,7,0,7,24
berkmla01,2006,1,HOU,NL,152,536,95,169,29,0,45,136,3,2,98,106,22,4,0,8,11
cabremi01,2006,1,FLO,NL,158,576,112,195,50,2,26,114,9,6,86,108,27,10,0,4,18
dyeje01,2006,1,CHA,AL,146,539,103,170,27,3,44,120,7,3,59,118,4,6,0,7,15
guerrvl01,2006,1,LAA,AL,156,607,92,200,34,1,33,116,15,5,50,68,25,4,0,4,16
cabremi01,2007,1,FLO,NL,157,588,91,188,38,2,34,119,2,1,79,127,23,5,1,7,17
crawfca02,2007,1,TBA,AL,143,584,93,184,37,9,11,80,50,10,32,112,5,5,1,2,11
guerrvl01,2007,1,LAA,AL,150,574,89,186,45,1,27,125,2,3,71,62,28,9,0,6,19
heltoto01,2007,1,COL,NL,154,557,86,178,42,2,17,91,0,1,116,74,16,2,0,7,15
hollima01,2007,1,COL,NL,158,636,120,216,50,6,36,137,11,4,63,126,7,10,0,4,23
